timestamp,market_slug,question,strategy,side,entry_price,size,confidence,reason,status,payout,end_date,market_type,strategy_version,fees,fill_price,order_id,executor_type,edge_gross,edge_net,reference_symbol,reference_price,best_bid,best_ask,spread,decision_latency_ms,thesis_id,cancel_reason,strategy_mode
2026-04-15T02:04:43.555308+00:00,hype-updown-5m-1776218400,"Hyperliquid Up or Down - April 14, 10:00PM-10:05PM ET",updown,NO,0.0859,1.00,0.9900,"HYPE ref +0.023%, implied 54% vs market 92%, net edge 35.9%, 16s to close",lost,0.00,2026-04-15T02:05:00+00:00,5m,11,0.0031,0.0859,sim-074cfdd9,SimulationExecutor,0.377420,0.359360,HYPE,44.360000,0.085000,0.085000,0.010000,0.017,crypto-ref:HYPE:5m:close,,live
2026-04-15T02:04:43.556676+00:00,doge-updown-5m-1776218400,"Dogecoin Up or Down - April 14, 10:00PM-10:05PM ET",updown,NO,0.1256,1.00,0.9900,"DOGE ref +0.007%, implied 51% vs market 88%, net edge 34.3%, 16s to close",lost,0.00,2026-04-15T02:05:00+00:00,5m,11,0.0045,0.1256,sim-7d69d05f,SimulationExecutor,0.362519,0.343019,DOGE,0.093482,0.125000,0.125000,0.010000,0.018,crypto-ref:DOGE:5m:close,,live
2026-04-15T02:04:43.557418+00:00,sol-updown-5m-1776218400,"Solana Up or Down - April 14, 10:00PM-10:05PM ET",updown,NO,0.1722,1.00,0.9900,"SOL ref +0.012%, implied 52% vs market 83%, net edge 28.9%, 16s to close",won,5.80,2026-04-15T02:05:00+00:00,5m,11,0.0061,0.1722,sim-e430da63,SimulationExecutor,0.310145,0.289025,SOL,83.950000,0.170000,0.170000,0.010000,0.019,crypto-ref:SOL:5m:close,,live
2026-04-15T02:04:43.558326+00:00,eth-updown-5m-1776218400,"Ethereum Up or Down - April 14, 10:00PM-10:05PM ET",updown,NO,0.2465,1.00,0.9900,"ETH ref -0.029%, implied 45% vs market 76%, net edge 28.0%, 16s to close",won,4.05,2026-04-15T02:05:00+00:00,5m,11,0.0088,0.2465,sim-0ad23673,SimulationExecutor,0.303509,0.279689,ETH,2335.680000,0.245000,0.245000,0.010000,0.024,crypto-ref:ETH:5m:close,,live
2026-04-15T02:14:38.742918+00:00,xrp-updown-5m-1776219000,"XRP Up or Down - April 14, 10:10PM-10:15PM ET",updown,NO,0.1566,1.00,0.9900,"XRP ref +0.000%, implied 50% vs market 84%, net edge 32.4%, 21s to close",lost,0.00,2026-04-15T02:15:00+00:00,5m,11,0.0056,0.1566,sim-e5830191,SimulationExecutor,0.345000,0.324420,XRP,1.360000,0.155000,0.155000,0.010000,0.106,crypto-ref:XRP:5m:close,,live
2026-04-15T02:14:38.745855+00:00,sol-updown-5m-1776219000,"Solana Up or Down - April 14, 10:10PM-10:15PM ET",updown,NO,0.3219,1.00,0.9900,"SOL ref -0.012%, implied 48% vs market 68%, net edge 17.2%, 21s to close",lost,0.00,2026-04-15T02:15:00+00:00,5m,11,0.0115,0.3219,sim-f59c77b0,SimulationExecutor,0.198844,0.172324,SOL,83.840000,0.320000,0.320000,0.010000,0.212,crypto-ref:SOL:5m:close,,live
2026-04-15T02:29:39.524965+00:00,eth-updown-5m-1776219900,"Ethereum Up or Down - April 14, 10:25PM-10:30PM ET",updown,YES,0.1464,1.00,0.9900,"ETH ref -0.081%, implied 32% vs market 14%, net edge 15.8%, 20s to close",lost,0.00,2026-04-15T02:30:00+00:00,5m,11,0.0052,0.1464,sim-f7d00af5,SimulationExecutor,0.178159,0.157939,ETH,2327.190000,0.145000,0.145000,0.010000,0.321,crypto-ref:ETH:5m:close,,live
2026-04-15T02:29:39.526523+00:00,bnb-updown-5m-1776219900,"BNB Up or Down - April 14, 10:25PM-10:30PM ET",updown,YES,0.0704,1.00,0.9900,"BNB ref -0.105%, implied 26% vs market 7%, net edge 17.7%, 20s to close",lost,0.00,2026-04-15T02:30:00+00:00,5m,11,0.0025,0.0704,sim-ea99128f,SimulationExecutor,0.194837,0.177317,BNB,617.820000,0.070000,0.070000,0.010000,0.311,crypto-ref:BNB:5m:close,,live
2026-04-15T02:29:39.527374+00:00,doge-updown-5m-1776219900,"Dogecoin Up or Down - April 14, 10:25PM-10:30PM ET",updown,YES,0.1268,1.00,0.9900,"DOGE ref -0.025%, implied 45% vs market 12%, net edge 30.6%, 20s to close",lost,0.00,2026-04-15T02:30:00+00:00,5m,11,0.0045,0.1268,sim-9fe49b03,SimulationExecutor,0.325520,0.306020,DOGE,0.093329,0.125000,0.125000,0.010000,0.352,crypto-ref:DOGE:5m:close,,live
2026-04-15T02:29:39.528178+00:00,sol-updown-5m-1776219900,"Solana Up or Down - April 14, 10:25PM-10:30PM ET",updown,YES,0.0760,1.00,0.9900,"SOL ref -0.036%, implied 42% vs market 8%, net edge 33.2%, 20s to close",lost,0.00,2026-04-15T02:30:00+00:00,5m,11,0.0027,0.0760,sim-220495ea,SimulationExecutor,0.349711,0.332011,SOL,83.680000,0.075000,0.075000,0.010000,0.393,crypto-ref:SOL:5m:close,,live
